Disease,What is it?,Symptoms,Cause,Prevention,Treatment,Why it matters
Legionellosis,Overview ,Symptoms Legionellosis is a generic term describing the pneumonic and non-pneumonic forms of infection with Legionella. ,"Legionellosis varies in severity from a mild febrile illness to a serious and sometimes fatal form of pneumonia and is caused by exposure to the Legionella bacteria species found in contaminated water and potting mixes. Cases of legionellosis are often categorized as being community, travel or hospital acquired based on the type of exposure. ","Prevention of Legionnaires’ disease depends on applying control measures to minimize the growth of Legionella and dissemination of aerosols. These measures include good maintenance of devices, including regular cleaning and disinfection and applying other physical (temperature) or chemical measures (biocide) to minimize growth. Some examples are: the regular maintenance, cleaning and disinfection of cooling towers together with frequent or continuous addition of biocides; ","Risk factors for hospital-acquired pneumonia are recent surgery, intubation (the process of placing a tube in the trachea), mechanical ventilation, aspiration, presence of nasogastric tubes, and the use of respiratory therapy equipment. The most susceptible hosts are immuno-compromised patients, including organ transplant recipients and cancer patients and those receiving corticosteroid treatment. Delay in diagnosis and administration of appropriate antibiotic treatment, increasing age and presence of co-existing diseases are predictors of death from Legionnaires’ disease. ",
Leishmaniasis,Overview ,,"Leishmaniasis is caused by a protozoa parasite from over 20 Leishmania species. Over 90 sandfly species are known to transmit Leishmania parasites. There are 3 main forms of the disease: Visceral leishmaniasis (VL), also known as kala-azar, is fatal if left untreated in over 95% of cases. It is characterized by irregular bouts of fever, weight loss, enlargement of the spleen and liver, and anaemia. Most cases occur in Brazil, east Africa and India. An estimated 50 000 to 90 000 new cases of VL occur worldwide annually, with only 25–45% reported to WHO. It has outbreak and mortality potential. ",Prevention and control Preventing and controlling the spread of leishmaniasis is complex and requires many tools. Key strategies include: ,"People living with HIV and who are infected with leishmaniasis have high chances of developing the full-blown disease,  high relapse and mortality rates. Antiretroviral treatment reduces the development of the disease, delays relapses and increases the survival. As of 2021, Leishmania-HIV coinfection has been reported from 45 countries. High  coinfection rates are reported from Brazil, Ethiopia and the state of Bihar ( India). In 2022, WHO published new treatment recommendations for Leishmania-HIV coinfected patients in east Africa and South-East Asia. Major risk factors ","monitoring disease trends and assessing the impact of control activities through the web-based global surveillance system which will allow for raising awareness and advocacy on the global burden of leishmaniasis and promoting equitable access to health services; developing evidence-based policy strategies and standards for leishmaniasis prevention and control, including capacity building such as online courses at Neglected Tropical Diseases (openwho.org); "
Leprosy,Key facts Overview ,,"Leprosy is a chronic infectious disease caused by a type of bacteria, Mycobacterium leprae. The disease predominantly affects the skin and peripheral nerves. Left untreated, the disease may cause progressive and permanent disabilities. ","Leprosy, also known as Hansen disease, is a chronic infectious disease caused mainly by a type of bacteria called Mycobacterium leprae. The disease affects the skin, the peripheral nerves, the mucosa of the upper respiratory tract and the eyes. Apart from the physical deformity, persons affected by leprosy also face stigmatization and discrimination. However, leprosy is curable and treatment in the early stages can prevent disability. Scope of the problem ","The disease is believed to be transmitted through droplets from the nose and mouth of an untreated case of leprosy, containing the causative agent, following prolonged, close contact. The disease does not spread through casual contact (like shaking hands or hugging, sharing meals or sitting next to each other). The patient stops transmitting the disease upon initiation of treatment. Diagnosis ",
Listeriosis,"L. monocytogenes are ubiquitous in nature and found in soil, water and animal digestive tracts. Vegetables may be contaminated through soil or the use of manure as fertilizer. Ready-to-eat food can also become contaminated during processing and the bacteria can multiply to dangerous levels during distribution and storage. ","Noninvasive listeriosis (febrile listerial gastroenteritis) is a mild form of the disease affecting mainly otherwise healthy people. Symptoms include diarrhoea, fever, headache and myalgia (muscle pain). The incubation period is short (a few days). Outbreaks of this disease have generally involved the ingestion of foods containing high doses of L. monocytogenes. Invasive listeriosis is a more severe form of the disease and affects certain high risk groups of the population. These include pregnant women, patients undergoing treatment for cancer, HIV and organ transplants, elderly people and infants. This form of disease is characterized by severe symptoms and a high mortality rate (20–30%). The symptoms include fever, myalgia (muscle pain), septicemia, meningitis. The incubation period is usually one to two weeks but can vary between a few days and up to 90 days. ","Foodborne listeriosis is one of the most serious and severe foodborne diseases. It is caused by the bacteria Listeria monocytogenes. It is a relatively rare disease with 0.1 to 10 cases per 1 million people per year depending on the countries and regions of the world. Although the number of cases of listeriosis is small, the high rate of death associated with this infection makes it a significant public health concern. Unlike many other common foodborne diseases causing bacteria, L. monocytogenescan survive and multiply at low temperatures usually found in refrigerators. Eating contaminated food with high numbers of L. monocytogenes is the main route of infection. Infection can also be transmitted between humans, notably from pregnant women to unborn babies. ","Listeriosis can be treated if diagnosed early. Antibiotics are used to treat severe symptoms such as meningitis. When infection occurs during pregnancy, prompt administration of antibiotics prevents infection of the fetus or newborn. Control methods ","foods that are consumed without further treatment, such as cooking, which would otherwise kill L. monocytogenes. In past outbreaks, foods involved included ready-to-eat meat products, such as frankfurters, meat spread (paté), smoked salmon and fermented raw meat sausages, as well as dairy products (including soft cheeses, unpasteurized milk and ice cream) and prepared salads (including coleslaw and bean sprouts) as well as fresh vegetables and fruits. ",
Low back pain,"Overview Low back pain (LBP) describes pain between the lower edge of the ribs and the buttock. It can last for a short time (acute), a little longer (sub-acute) or a long time (chronic). It can affect anyone. LBP makes it hard to move and can affect quality of life and mental well-being. It can limit work activities and engagement with family and friends. ","Signs and symptoms Low back pain can be a dull ache or sharp pain. It can also cause pain to radiate into other areas of the body, especially the legs. ","LBP can be specific or non-specific. Specific LBP is pain that is caused by a certain disease or structural problem in the spine, or when the pain radiates from another part of the body. Non-specific LBP is when it isn’t possible to identify a specific disease or structural reason to explain the pain. LBP is non-specific in about 90% of cases. ",There are several ways to reduce symptoms and help prevent further episodes of non-specific low back pain: being physically active ,"In all types and at all stages of LBP, rehabilitation is essential to reassure people and help them make sense of their pain, help them return to activities they enjoy and identify strategies to support recovery and improve function. Specialized care pathways may be needed for specific LBP. An estimated 619 million people live with LBP and it is the leading cause of disability worldwide. LBP is a major public health issue. LBP is often associated with loss of work productivity and thus produces huge economic burden on individuals and on societies. ","People at any age can experience LBP, including children and adolescents. Most people experience LBP at some point in their lives. The peak in the number of cases occurs at 50–55 years, and women experience LBP more frequently than men. The prevalence and disability impact of LBP are greatest among older people aged 80–85 years. Recurrent LBP episodes are more common with ageing. Chronic LBP is a major cause of work loss and participation restriction and reduced quality of life around the world. Considering the high prevalence, LBP contributes to a huge economic burden on societies. It should be considered a global public health problem that requires an appropriate response. "
Lung cancer,Overview ,"Symptoms of lung cancer include a cough that does not go away, chest pain and shortness of breath. It is important to seek medical care early to avoid serious health effects. Treatments depend on the person’s medical history and the stage of the disease. ","Lung cancer is a type of cancer that starts when abnormal cells grow in an uncontrolled way in the lungs. It is a serious health issue that can cause severe harm and death. Symptoms of lung cancer include a cough that does not go away, chest pain and shortness of breath. ",Prevention Not smoking tobacco is the best way to prevent lung cancer. ,"Early treatment can prevent lung cancer from becoming worse and spreading to other parts of the body. Prevention of lung cancer include primary and secondary prevention measures. Primary prevention aims to prevent the initial occurrence of a disease through risk reduction and promoting healthy behaviour. In public health, these preventive measures include smoking cessation, promoting smoke-free environments, implementing tobacco control policies, addressing occupational hazards, and reducing air pollution levels. ","WHO recognizes the significant impact of lung cancer on global health and has implemented several initiatives to address the disease comprehensively. The WHO's response focuses on tobacco control, cancer prevention, early detection, and improving access to quality treatment and care. WHO supports countries in implementing evidence-based tobacco control policies, including increasing tobacco taxes, enforcing comprehensive bans on tobacco advertising, promotion, and sponsorship, and implementing strong graphic health warnings on tobacco products. The Organization also promotes cancer prevention strategies by advocating for healthy lifestyles, including regular physical activity, a healthy diet, and minimizing exposure to environmental risk factors. Additionally, WHO supports early detection programs and encourages countries to implement screening measures for high-risk populations to detect lung cancer at earlier stages when treatment options are more effective. Last, WHO works towards ensuring access to quality treatment and care for lung cancer patients by providing technical guidance to member states, promoting equitable access to essential cancer medicines, and fostering international collaboration to share best practices and improve cancer care outcomes. "
Lymphatic filariasis,"Key facts Lymphatic filariasis impairs the lymphatic system and can lead to the abnormal enlargement of body parts, causing pain, severe disability and social stigma. ","Symptoms Lymphatic filariasis infection involves asymptomatic, acute and chronic conditions. The majority of infections are asymptomatic, showing no external signs of infection while contributing to the transmission of the parasite. These asymptomatic infections still cause damage to the lymphatic system and the kidneys and alter the body's immune system. ","An essential, recommended package of care can alleviate suffering and prevent further disability among people living with disease caused by lymphatic filariasis. Overview ",Over 657 million people in 39 countries worldwide remain threatened by lymphatic filariasis and require preventive chemotherapy to stop the spread of this parasitic infection. Lymphatic filariasis can be eliminated by stopping the spread of infection through preventive chemotherapy with safe medicine combinations repeated annually. More than 9.7 billion cumulative treatments have been delivered to stop the spread of infection since 2000. ,"When lymphatic filariasis develops into chronic conditions it leads to lymphoedema (tissue swelling) or elephantiasis (skin/tissue thickening) of limbs and hydrocele (scrotal swelling). Involvement of breasts and genital organs is common. Such body deformities often lead to social stigma and sub-optimal mental health, loss of income-earning opportunities and increased medical expenses for patients and their caretakers. The socioeconomic burdens of isolation and poverty are immense. Acute episodes of local inflammation involving skin, lymph nodes and lymphatic vessels often accompany chronic lymphoedema or elephantiasis. Some of these episodes are caused by the body's immune response to the parasite. Most are the result of secondary bacterial skin infection where normal defenses have been partially lost due to underlying lymphatic damage. These acute attacks are debilitating, may last for weeks and are the primary cause of lost wages among people suffering with lymphatic filariasis. ","The impact of MDA depends on the efficacy of the regimen and the coverage (proportion of total population ingesting the medicines). MDA with the 2-medicine regimens have interrupted the transmission cycle when conducted annually for at least 4–6 years with effective coverage of the total population at risk. Salt fortified with DEC has also been used in a few unique settings to interrupt the transmission cycle. At the start of GPELF, 81 countries were considered endemic for lymphatic filariasis. Further epidemiological data reviewed since, indicate that preventive chemotherapy was not required in 10 countries. From 2000 to 2023, 9.7 billion cumulative treatments were delivered to more than 943 million people at least once in 71 countries, considerably reducing transmission in many places. The population requiring MDA has declined by 58.6% (871 million) where infection prevalence has been reduced below elimination thresholds. The overall economic benefit of the programme during 2000–2007 is conservatively estimated at US$ 24 billion. Treatments until 2015 are estimated to have averted at least US$ 100.5 billion of economic loss expected to have occurred over the lifetime of cohorts who have benefited from treatment. "
Malaria,"Key facts Globally in 2023, there were an estimated 263 million malaria cases and 597 000 malaria deaths in 83 countries. The WHO African Region carries a disproportionately high share of the global malaria burden. Overview ","Symptoms can be mild or life-threatening. Mild symptoms are fever, chills and headache. Severe symptoms include fatigue, confusion, seizures, and difficulty breathing. Infants, children under 5 years, pregnant women and girls, travellers and people with HIV or AIDS are at higher risk of severe infection. ","The infection is caused by a parasite and does not spread from person to person. Symptoms can be mild or life-threatening. Mild symptoms are fever, chills and headache. Severe symptoms include fatigue, confusion, seizures, and difficulty breathing. ",Malaria is a life-threatening disease spread to humans by some types of mosquitoes. It is mostly found in tropical countries. It is preventable and curable. The infection is caused by a parasite and does not spread from person to person. ,"Malaria can be prevented by avoiding mosquito bites and with medicines. Treatments can stop mild cases from getting worse. Malaria mostly spreads to people through the bites of some infected female Anopheles mosquitoes. Blood transfusion and contaminated needles may also transmit malaria. The first symptoms may be mild, similar to many febrile illnesses, and difficulty to recognize as malaria. Left untreated, P. falciparum malaria can progress to severe illness and death within 24 hours. ","Preventive chemotherapy is the use of medicines, either alone or in combination, to prevent malaria infections and their consequences. It requires giving a full treatment course of an antimalarial medicine to vulnerable populations at designated time points during the period of greatest malarial risk, regardless of whether the recipients are infected with malaria. Preventive chemotherapy includes perennial malaria chemoprevention (PMC), seasonal malaria chemoprevention (SMC), intermittent preventive treatment of malaria in pregnancy (IPTp) and school-aged children (IPTsc), post-discharge malaria chemoprevention (PDMC) and mass drug administration (MDA). These safe and cost-effective strategies are intended to complement ongoing malaria control activities, including vector control measures, prompt diagnosis of suspected malaria, and treatment of confirmed cases with antimalarial medicines. "
Malnutrition,"Key facts Malnutrition, in all its forms, includes undernutrition (wasting, stunting, underweight), inadequate vitamins or minerals, overweight, obesity, and resulting diet-related noncommunicable diseases. In 2022, 2.5 billion adults were overweight, including 890 million who were living with obesity, while 390 million were underweight. Overview ",,"Low weight-for-height is known as wasting. It usually indicates recent and severe weight loss because a person has not had enough food to eat and/or they have had an infectious disease, such as diarrhoea, which has caused them to lose weight. A young child who is moderately or severely wasted has an increased risk of death, but treatment is possible. Low height-for-age is known as stunting. It is the result of chronic or recurrent undernutrition, usually associated with poor socioeconomic conditions, poor maternal health and nutrition, frequent illness, and/or inappropriate infant and young child feeding and care in early life. Stunting holds children back from reaching their physical and cognitive potential. ","providing social protection and nutrition-related education for all; aligning health systems to nutrition needs, and providing universal coverage of essential nutrition interventions; ","Poverty amplifies the risk of, and risks from, malnutrition. People who are poor are more likely to be affected by different forms of malnutrition. Also, malnutrition increases health care costs, reduces productivity, and slows economic growth, which can perpetuate a cycle of poverty and ill-health. The United Nations Decade of Action on Nutrition ","Nearly half of deaths among children under 5 years of age are linked to undernutrition. These mostly occur in low- and middle-income countries. The developmental, economic, social and medical impacts of the global burden of malnutrition are serious and lasting, for individuals and their families, for communities and for countries. The developmental, economic, social and medical impacts of the global burden of malnutrition are serious and lasting, for individuals and their families, for communities and for countries. "
Marburg virus disease,"Key facts Marburg virus disease (MVD), formerly known as Marburg haemorrhagic fever, is a severe, often fatal illness in humans. The average MVD case fatality rate is around 50%. Case fatality rates have varied from 24% to 88% in past outbreaks. Overview ",People cannot transmit the disease before they have symptoms and remain infectious as long as their blood contains the virus. Symptoms of Marburg virus disease ,"Both viruses are part of the Filoviridae family (filovirus) to which Orthoebolavirus genus belongs. Though caused by different viruses, Ebola and Marburg diseases are clinically similar. Both diseases are rare but have the capacity to cause outbreaks with high fatality rates. MVD was initially detected in 1967 after two simultaneous outbreaks in Marburg and Frankfurt in Germany, and in Belgrade, Serbia. These outbreaks were associated with laboratory work using African green monkeys (Cercopithecus aethiops) imported from Uganda. Subsequently, outbreaks and sporadic cases have been reported in Angola, the Democratic Republic of the Congo, Equatorial Guinea, Ghana, Guinea, Kenya, South Africa (in a person with recent travel history to Zimbabwe), Tanzania and Uganda. In 2008, two independent cases were reported in travellers who had visited a cave inhabited by Rousettus aegyptiacus bat colonies in Uganda. In September 2024, Rwanda reported the country's first outbreak and Tanzania declared another outbreak in January 2025. ","Prevention and control Community engagement is key to successfully controlling any outbreaks. Outbreak control relies on using a range of interventions, such as case management, surveillance and contact tracing, good laboratory service, infection prevention and control in health facilities, safe and dignified burials and social mobilization. ","Early supportive care with rehydration, and symptomatic treatment improves survival. There are currently no approved vaccines or antiviral treatments for MVD, but a range of vaccines and drug therapies are under development. ",
Maternal mortality,Key facts ,,"Every day in 2023, over 700 women died from preventable causes related to pregnancy and childbirth. A maternal death occurred almost every 2 minutes in 2023. ","Maternal mortality is unacceptably high. About 260 000 women died during and following pregnancy and childbirth in 2023. Approximately 92% of all maternal deaths occurred in low- and lower-middle-income countries in 2023, and most could have been prevented. Sustainable Development Goal (SDG) regions and sub-regions are used here. Sub-Saharan Africa and southern Asia accounted for around 87% (225 000) of the estimated global maternal deaths in 2023. Sub-Saharan Africa alone accounted for around 70% of maternal deaths (182 000), while southern Asia accounted for around 17% (43 000). ","Care by skilled health professionals before, during and after childbirth can save the lives of women and newborns. Overview ","What was the impact of COVID-19 pandemic on maternal mortality? The MMR rose in 2021 (from 282 000 maternal deaths in 2020 to 322 000 maternal deaths in 2021). It is possible that the COVID-19 pandemic contributed to this via two mechanisms: (i) indirect obstetric deaths – where the woman had SARS-CoV-2 infection and died as a result of the interaction between COVID-19 and her pregnant state; and/or (ii) direct obstetric deaths – where disruptions to health services hindered access to and/or quality of care resulting in pregnancy complications that ended in mortality, when they may otherwise have been prevented or managed successfully (4). The data show that this interruption to the downward trajectory of global MMR was short-lived. In 2022, the global MMR and number of maternal deaths were lower than they had been in the three years immediately prior to the COVID-19 pandemic. "
Measles,Key facts Overview ,"Measles infects the respiratory tract and then spreads throughout the body. Symptoms include a high fever, cough, runny nose and a rash all over the body. Being vaccinated is the best way to prevent getting sick with measles or spreading it to other people. The vaccine is safe and helps your body fight off the virus. ","Measles is a highly contagious, serious airborne disease caused by a virus that can lead to severe complications and death. Measles vaccination averted more than 60 million deaths between 2000 and 2023. ","Accelerated immunization activities by countries, WHO, the Measles & Rubella Partnership (formerly the Measles & Rubella Initiative), and other international partners successfully prevented an estimated 60 million deaths between 2000–2023. Vaccination decreased an estimated measles deaths from 800 062 in 2000 to 107 500 in 2022 (1). Effects of the COVID-19 pandemic ","We must regain progress and achieve regional measles elimination targets, despite the COVID-19 pandemic. Immunization programs should be strengthened within primary healthcare, so efforts to reach all children with two measles vaccine doses should be accelerated. Countries should also implement robust surveillance systems to identify and close immunity gaps. Signs and symptoms ","In 2020, WHO and global stakeholders endorsed the Immunization Agenda 2021–2030. The Agenda aims to achieve the regional targets as a core indicator of impact, positioning measles as a tracer of a health system’s ability to deliver essential childhood vaccines. WHO published the Measles and rubella strategic framework in 2020, establishing seven necessary strategic priorities to achieve and sustain the regional measles and rubella elimination goals. "
Meningitis,Key facts Meningitis is a devastating disease that can be deadly and often results in serious long-term health issues. Meningitis remains a major global public health challenge. ,"Signs and symptoms The symptoms of meningitis can differ based on the cause, how quickly the disease progresses, how long it lasts, brain involvement, and other serious complications like sepsis. ","Many organisms can cause meningitis, including bacteria, viruses, fungi and parasites. Bacterial meningitis is of particular concern. Around 1 in 6 people who get this type of meningitis die and 1 in 5 have severe complications. ",Vaccines are the most effective way to deliver long-lasting protection. Overview ,"Meningitis is the inflammation of the tissues surrounding the brain and spinal cord. It can be infectious or non-infectious in origin, can be associated with high risk of death and long-term complications, and requires urgent medical care. Meningitis remains a significant global health threat. It can be caused by several species of bacteria, viruses, fungi and parasites. Injuries, cancers and drugs cause a small number of cases. ","Bacterial meningitis is the most serious type of meningitis. It is a severe, life-threatening condition that can often lead to long-term adverse health consequences. There are four main causes of acute bacterial meningitis: Neisseria meningitidis (meningococcus) "
Menopause,Key facts ,A variety of non-hormonal and hormonal interventions can help alleviate perimenopausal symptoms. Overview ,"Menopause is caused by the loss of ovarian follicular function and a decline in circulating blood oestrogen levels. The menopausal transition can be gradual, usually beginning with changes in the menstrual cycle. Perimenopause refers to the period from when these signs are first observed and ends one year after the final menstrual period. ","During perimenopause and following menopause, it is still possible to acquire sexually transmitted infections (STIs), including HIV, through unprotected sexual contact, including oral, anal and vaginal sex. The thinning of the vaginal wall after menopause increases the chances of lesions and tears, thereby increasing the risk of HIV transmission during vaginal sex. The importance of understanding menopause ","Menopause is one point in a continuum of life stages for women and marks the end of their reproductive years. After menopause, a woman cannot become pregnant, except in rare cases when specialized fertility treatments are used. Most women experience menopause between the ages of 45 and 55 years as a natural part of biological ageing. Menopause can also be a consequence of surgical or medical procedures. ","Menopause can also be induced as a consequence of surgical procedures that involve removal of both ovaries or medical interventions that cause cessation of ovarian function (for example radiation therapy or chemotherapy). Many women have already stopped menstruating before menopause, for example those who have had certain surgical procedures (hysterectomy or surgical removal of their uterine lining) as well as those using certain hormonal contraceptives and other medicines that cause infrequent or absent periods. They may still experience other changes related to the menopausal transition. "
Mental disorders,"A mental disorder is characterized by a clinically significant disturbance in an individual’s cognition, emotional regulation, or behaviour.  It is usually associated with distress or impairment in important areas of functioning. There are many different types of mental disorders.  Mental disorders may also be referred to as mental health conditions. The latter is a broader term covering mental disorders, psychosocial disabilities and (other) mental states associated with significant distress, impairment in functioning, or risk of self-harm.  This fact sheet focuses on mental disorders as described by the International Classification of Diseases 11th Revision (ICD-11). ","In 2019, 301 million people were living with an anxiety disorder including 58 million children and adolescents (1).  Anxiety disorders are characterised by excessive fear and worry and related behavioural disturbances. Symptoms are severe enough to result in significant distress or significant impairment in functioning. There are several different kinds of anxiety disorders, such as: generalised anxiety disorder (characterised by excessive worry), panic disorder (characterised by panic attacks), social anxiety disorder (characterised by excessive fear and worry in social situations), separation anxiety disorder (characterised by excessive fear or anxiety about separation from those individuals to whom the person has a deep emotional bond), and others. Effective psychological treatment exists, and depending on the age and severity, medication may also be considered. Depression ","In 2019, 1 in every 8 people, or 970 million people around the world were living with a mental disorder, with anxiety and depressive disorders the most common (1). In 2020, the number of people living with anxiety and depressive disorders rose significantly because of the COVID-19 pandemic.  Initial estimates show a 26% and 28% increase respectively for anxiety and major depressive disorders in just one year (2). While effective prevention and treatment options exist, most people with mental disorders do not have access to effective care. Many people also experience stigma, discrimination and violations of human rights. Anxiety Disorders ","At any one time, a diverse set of individual, family, community, and structural factors may combine to protect or undermine mental health. Although most people are resilient, people who are exposed to adverse circumstances – including poverty, violence, disability, and inequality – are at higher risk. Protective and risk factors include individual psychological and biological factors, such as emotional skills as well as genetics.  Many of the risk and protective factors are influenced through changes in brain structure and/or function. Health systems and social support ","In 2019, 280 million people were living with depression, including 23 million children and adolescents (1). Depression is different from usual mood fluctuations and short-lived emotional responses to challenges in everyday life.  During a depressive episode, the person experiences depressed mood (feeling sad, irritable, empty) or a loss of pleasure or interest in activities, for most of the day, nearly every day, for at least two weeks. Several other symptoms are also present, which may include poor concentration, feelings of excessive guilt or low self-worth, hopelessness about the future, thoughts about dying or suicide, disrupted sleep, changes in appetite or weight, and feeling especially tired or low in energy. People with depression are at an increased risk of suicide. Yet, effective psychological treatment exists, and depending on the age and severity, medication may also be considered. Bipolar Disorder ","Neurodevelopmental disorders include disorders of intellectual development, autism spectrum disorder, and attention deficit hyperactivity disorder (ADHD) amongst others. ADHD is characterised by a persistent pattern of inattention and/or hyperactivity-impulsivity that has a direct negative impact on academic, occupational, or social functioning.  Disorders of intellectual development are characterised by significant limitations in intellectual functioning and adaptive behaviour, which refers to difficulties with everyday conceptual, social, and practical skills that are performed in daily life. Autism spectrum disorder (ASD) constitutes a diverse group of conditions characterised by some degree of difficulty with social communication and reciprocal social interaction, as well as persistent restricted, repetitive, and inflexible patterns of behaviour, interests, or activities. Effective treatment options exist including psychosocial interventions, behavioural interventions, occupational and speech therapy. For certain diagnoses and age groups, medication may also be considered. "
Mental health,"Concepts in mental health Mental health is a state of mental well-being that enables people to cope with the stresses of life, realize their abilities, learn well and work well, and contribute to their community. It is an integral component of health and well-being that underpins our individual and collective abilities to make decisions, build relationships and shape the world we live in. Mental health is a basic human right. And it is crucial to personal, community and socio-economic development. Mental health is more than the absence of mental disorders. It exists on a complex continuum, which is experienced differently from one person to the next, with varying degrees of difficulty and distress and potentially very different social and clinical outcomes. ",,,"Throughout our lives, multiple individual, social and structural determinants may combine to protect or undermine our mental health and shift our position on the mental health continuum. Individual psychological and biological factors such as emotional skills, substance use and genetics can make people more vulnerable to mental health problems. ","Promoting child and adolescent mental health is another priority and can be achieved by policies and laws that promote and protect mental health, supporting caregivers to provide nurturing care, implementing school-based programmes and improving the quality of community and online environments. School-based social and emotional learning programmes are among the most effective promotion strategies for countries at all income levels. Promoting and protecting mental health at work is a growing area of interest and can be supported through legislation and regulation, organizational strategies, manager training and interventions for workers. ",
Mental health at work,"Key facts Decent work is good for mental health. Poor working environments – including discrimination and inequality, excessive workloads, low job control and job insecurity – pose a risk to mental health. ","interventions for individuals to build skills to manage stress and reduce mental health symptoms, including psychosocial interventions and opportunities for leisure-based physical activity. Support people with mental health conditions to participate in and thrive at work ","Although psychosocial risks can be found in all sectors, some workers are more likely to be exposed to them than others, because of what they do or where and how they work. Health, humanitarian or emergency workers often have jobs that carry an elevated risk of exposure to adverse events, which can negatively impact mental health. Economic recessions or humanitarian and public health emergencies elicit risks such as job loss, financial instability, reduced employment opportunities or increased unemployment. ","There are effective actions to prevent mental health risks at work, protect and promote mental health at work, and support workers with mental health conditions. Overview ","At work, risks to mental health, also called psychosocial risks, may be related to job content or work schedule, specific characteristics of the workplace or opportunities for career development among other things. Risks to mental health at work can include: ",
Mental health in emergencies,"Key facts Almost all people affected by emergencies experience psychological distress, which typically improves over time. One in five people (22%) who have experienced war or conflict in the previous 10 years has depression, anxiety, post-traumatic stress disorder, bipolar disorder or schizophrenia. Overview ",,,"Protect and promote the rights of people with severe mental health conditions, including those living in institutions such as psychiatric hospitals, social care homes and rehabilitation clinics for substance use. Establish referral networks between mental health specialists, general health care providers, community supports and other relevant services (e.g. schools, social services and emergency relief services). ",Emergencies significantly disrupt mental health services and reduce the availability of quality care. People with severe mental health conditions are especially vulnerable during emergencies and need access to mental health care and other basic needs. ,"Every year, millions of people are affected by emergencies such as armed conflicts and natural disasters. These crises disrupt families, livelihoods and essential services, and significantly impact mental health. Nearly all those affected experience psychological distress. A minority go on to develop mental health conditions such as depression or post-traumatic stress disorder. Emergencies can worsen mental health conditions and social issues such as poverty and discrimination. They can also contribute to new problems, such as family separation and harmful substance use. "
Mental health of adolescents,"Key facts Globally, one in seven 10-19-year-olds experiences a mental disorder, accounting for 15% of the global burden of disease in this age group. ","Emotional disorders are common among adolescents. Anxiety disorders (which may involve panic or excessive worry) are the most prevalent in this age group and are more common among older than among younger adolescents. It is estimated that 4.4% of 10–14-year-olds and 5.5% of 15–19-year-olds experience an anxiety disorder (1). Depression is estimated to occur among 1.4% of adolescents aged 10–14 years, and 3.5% of 15–19-year-olds (1). Depression and anxiety share some of the same symptoms, including rapid and unexpected changes in mood. Anxiety and depressive disorders can profoundly affect school attendance and schoolwork. Social withdrawal can exacerbate isolation and loneliness. Depression can lead to suicide. ","Depression, anxiety and behavioural disorders are among the leading causes of illness and disability among adolescents. Suicide  is the third leading cause of death among those aged 15–29 years old. ","One in six people are aged 10–19 years. Adolescence is a unique and formative time. Physical, emotional and social changes, including exposure to poverty, abuse, or violence, can make adolescents vulnerable to mental health problems. Protecting adolescents from adversity, promoting socio-emotional learning and psychological well-being, and ensuring access to mental health care are critical for their health and well-being during adolescence and adulthood. Globally, it is estimated that one in seven (14%) of 10–19-year-olds experience mental health conditions (1), yet these remain largely unrecognized and untreated. ","Suicide is the third leading cause of death in older adolescents and young adults (15–29 years) (2). Risk factors for suicide are multifaceted, and include harmful use of alcohol, abuse in childhood, stigma against help-seeking, barriers to accessing care and access to means of suicide. Digital media, like any other media, can play a significant role in either enhancing or weakening suicide prevention efforts. Risk-taking behaviours ","The consequences of failing to address adolescent mental health conditions extend to adulthood, impairing both physical and mental health and limiting opportunities to lead fulfilling lives as adults. Introduction "
Mental health of older adults,"Key facts By 2030, one in six people in the world will be aged 60 years or over. Loneliness and social isolation are key risk factors for mental health conditions in later life. Overview ","For older adults, social connection is particularly important to reduce risk factors such as social isolation and loneliness. At this stage of life, meaningful social activities can significantly improve positive mental health, life satisfaction and quality of life; they can also reduce depressive symptoms. Example interventions include befriending initiatives, community and support groups, social skills training, creative arts groups, leisure and education services and volunteering programmes. Protection from ageism and abuse is also critical. Key interventions include anti-discrimination policies and laws, educational interventions and intergenerational activities. A range of carer interventions – including respite care, advice, education, financial support and psychological interventions – can support carers to maintain a good and healthy caring relationship that avoids abuse of older people. ","Some older adults are at greater risk of depression and anxiety, because of dire living conditions, poor physical health or lack of access to quality support and services. This includes older adults living in humanitarian settings and those living with chronic illnesses (such as heart disease, cancer or stroke), neurological conditions (such as dementia), or substance use problems. Promotion and prevention ","Mental health promotion and prevention strategies for older adults focus on supporting healthy ageing. That means creating physical and social environments that support well-being and enable people to do what is important to them, despite losses in capacity. Key mental health promotion and prevention strategies for healthy ageing include: ","One in six older adults experience abuse, often by their own carers. Approximately 14% of adults aged 60 and over live with a mental disorder. ","At older ages, mental health is shaped not only by physical and social environments but also by the cumulative impacts of earlier life experiences and specific stressors related to ageing. Exposure to adversity, significant loss in intrinsic capacity and a decline in functional ability can all result in psychological distress. Older adults are more likely to experience adverse events such as bereavement, or a drop in income or reduced sense of purpose with retirement. Despite their many contributions to society, many older adults are subject to ageism, which can seriously affect people’s mental health. "
